Unnamed: 0,questions,answer,type
0,At what date did Afghanistan attain membership in the United Nations?,11/19/1946,date
1,When was Afghanistan admitted to the United Nations?,11/19/1946,date
2,At what date did Afghanistan gain entry into the United Nations?,11/19/1946,date
3,When did Afghanistan become a member state of the United Nations?,11/19/1946,date
4,give me Afghanistan’s date of admission (dd/mm/yyyy format) into the UN,11/19/1946,date
5,When was Afghanistan granted UN membership?,11/19/1946,date
6,At what date did Afghanistan secure its place in the United Nations?,11/19/1946,date
7,When did Afghanistan achieve membership status within the United Nations?,11/19/1946,date
8,At what specific date did Afghanistan enter the United Nations?,11/19/1946,date
9,When did Afghanistan become part of the United Nations?,11/19/1946,date
10,At what date did Afghanistan receive membership in the United Nations?,11/19/1946,date
11,When was Afghanistan accepted as a member of the United Nations?,11/19/1946,date
12,give me the date when Afghanistan became a member of the UN,11/19/1946,date
13,When did Afghanistan obtain its United Nations membership?,11/19/1946,date
14,what was the date when Afghanistan acquired membership in the United Nations?,11/19/1946,date
15,At what date did Albania attain membership in the United Nations?,12/14/1955,date
16,When was Albania admitted to the United Nations?,12/14/1955,date
17,At what date did Albania gain entry into the United Nations?,12/14/1955,date
18,When did Albania become a member state of the United Nations?,12/14/1955,date
19,give me Albania’s date of admission (dd/mm/yyyy format) into the UN,12/14/1955,date
20,When was Albania granted UN membership?,12/14/1955,date
21,At what date did Albania secure its place in the United Nations?,12/14/1955,date
22,When did Albania achieve membership status within the United Nations?,12/14/1955,date
23,At what specific date did Albania enter the United Nations?,12/14/1955,date
24,When did Albania become part of the United Nations?,12/14/1955,date
25,At what date did Albania receive membership in the United Nations?,12/14/1955,date
26,When was Albania accepted as a member of the United Nations?,12/14/1955,date
27,give me the date when Albania became a member of the UN,12/14/1955,date
28,When did Albania obtain its United Nations membership?,12/14/1955,date
29,what was the date when Albania acquired membership in the United Nations?,12/14/1955,date
30,At what date did Algeria attain membership in the United Nations?,10/08/1962,date
31,When was Algeria admitted to the United Nations?,10/08/1962,date
32,At what date did Algeria gain entry into the United Nations?,10/08/1962,date
33,When did Algeria become a member state of the United Nations?,10/08/1962,date
34,give me Algeria’s date of admission (dd/mm/yyyy format) into the UN,10/08/1962,date
35,When was Algeria granted UN membership?,10/08/1962,date
36,At what date did Algeria secure its place in the United Nations?,10/08/1962,date
37,When did Algeria achieve membership status within the United Nations?,10/08/1962,date
38,At what specific date did Algeria enter the United Nations?,10/08/1962,date
39,When did Algeria become part of the United Nations?,10/08/1962,date
40,At what date did Algeria receive membership in the United Nations?,10/08/1962,date
41,When was Algeria accepted as a member of the United Nations?,10/08/1962,date
42,give me the date when Algeria became a member of the UN,10/08/1962,date
43,When did Algeria obtain its United Nations membership?,10/08/1962,date
44,what was the date when Algeria acquired membership in the United Nations?,10/08/1962,date
45,At what date did Andorra attain membership in the United Nations?,07/28/1993,date
46,When was Andorra admitted to the United Nations?,07/28/1993,date
47,At what date did Andorra gain entry into the United Nations?,07/28/1993,date
48,When did Andorra become a member state of the United Nations?,07/28/1993,date
49,give me Andorra’s date of admission (dd/mm/yyyy format) into the UN,07/28/1993,date
50,When was Andorra granted UN membership?,07/28/1993,date
51,At what date did Andorra secure its place in the United Nations?,07/28/1993,date
52,When did Andorra achieve membership status within the United Nations?,07/28/1993,date
53,At what specific date did Andorra enter the United Nations?,07/28/1993,date
54,When did Andorra become part of the United Nations?,07/28/1993,date
55,At what date did Andorra receive membership in the United Nations?,07/28/1993,date
56,When was Andorra accepted as a member of the United Nations?,07/28/1993,date
57,give me the date when Andorra became a member of the UN,07/28/1993,date
58,When did Andorra obtain its United Nations membership?,07/28/1993,date
59,what was the date when Andorra acquired membership in the United Nations?,07/28/1993,date
60,At what date did Angola attain membership in the United Nations?,12/01/1976,date
61,When was Angola admitted to the United Nations?,12/01/1976,date
62,At what date did Angola gain entry into the United Nations?,12/01/1976,date
63,When did Angola become a member state of the United Nations?,12/01/1976,date
64,give me Angola’s date of admission (dd/mm/yyyy format) into the UN,12/01/1976,date
65,When was Angola granted UN membership?,12/01/1976,date
66,At what date did Angola secure its place in the United Nations?,12/01/1976,date
67,When did Angola achieve membership status within the United Nations?,12/01/1976,date
68,At what specific date did Angola enter the United Nations?,12/01/1976,date
69,When did Angola become part of the United Nations?,12/01/1976,date
70,At what date did Angola receive membership in the United Nations?,12/01/1976,date
71,When was Angola accepted as a member of the United Nations?,12/01/1976,date
72,give me the date when Angola became a member of the UN,12/01/1976,date
73,When did Angola obtain its United Nations membership?,12/01/1976,date
74,what was the date when Angola acquired membership in the United Nations?,12/01/1976,date
75,At what date did Antigua and Barbuda attain membership in the United Nations?,11/11/1981,date
76,When was Antigua and Barbuda admitted to the United Nations?,11/11/1981,date
77,At what date did Antigua and Barbuda gain entry into the United Nations?,11/11/1981,date
78,When did Antigua and Barbuda become a member state of the United Nations?,11/11/1981,date
79,give me Antigua and Barbuda’s date of admission (dd/mm/yyyy format) into the UN,11/11/1981,date
80,When was Antigua and Barbuda granted UN membership?,11/11/1981,date
81,At what date did Antigua and Barbuda secure its place in the United Nations?,11/11/1981,date
82,When did Antigua and Barbuda achieve membership status within the United Nations?,11/11/1981,date
83,At what specific date did Antigua and Barbuda enter the United Nations?,11/11/1981,date
84,When did Antigua and Barbuda become part of the United Nations?,11/11/1981,date
85,At what date did Antigua and Barbuda receive membership in the United Nations?,11/11/1981,date
86,When was Antigua and Barbuda accepted as a member of the United Nations?,11/11/1981,date
87,give me the date when Antigua and Barbuda became a member of the UN,11/11/1981,date
88,When did Antigua and Barbuda obtain its United Nations membership?,11/11/1981,date
