questions,answer,type
Where did CVPR take place in 2024? Give me the exact location only.,"Seattle, Washington",city
"In 2024, where was CVPR held? Give me the exact location only.","Seattle, Washington",city
What was the location of CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
Where was the venue for CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
What was the site of CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
"In 2024, where was CVPR hosted? Give me the exact location only.","Seattle, Washington",city
Where did CVPR occur in 2024? Give me the exact location only.,"Seattle, Washington",city
What venue hosted CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
Where did CVPR convene in 2024? Give me the exact location only.,"Seattle, Washington",city
What was the location for CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
CVPR 2024 location Give me the exact location only.,"Seattle, Washington",city
What location accommodated CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
Where was the place of assembly for CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
What was the venue of CVPR in 2024? Give me the exact location only.,"Seattle, Washington",city
Give me the venue for 2024 CVPR Give me the exact location only.,"Seattle, Washington",city
Where did CVPR take place in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
"In 2023, where was CVPR held? Give me the exact location only.","Vancouver, British Columbia",city
What was the location of CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
Where was the venue for CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
What was the site of CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
"In 2023, where was CVPR hosted? Give me the exact location only.","Vancouver, British Columbia",city
Where did CVPR occur in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
What venue hosted CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
Where did CVPR convene in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
What was the location for CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
CVPR 2023 location Give me the exact location only.,"Vancouver, British Columbia",city
What location accommodated CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
Where was the place of assembly for CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
What was the venue of CVPR in 2023? Give me the exact location only.,"Vancouver, British Columbia",city
Give me the venue for 2023 CVPR Give me the exact location only.,"Vancouver, British Columbia",city
Where did CVPR take place in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
"In 2022, where was CVPR held? Give me the exact location only.","New Orleans, Louisiana",city
What was the location of CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
Where was the venue for CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
What was the site of CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
"In 2022, where was CVPR hosted? Give me the exact location only.","New Orleans, Louisiana",city
Where did CVPR occur in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
What venue hosted CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
Where did CVPR convene in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
What was the location for CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
CVPR 2022 location Give me the exact location only.,"New Orleans, Louisiana",city
What location accommodated CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
Where was the place of assembly for CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
What was the venue of CVPR in 2022? Give me the exact location only.,"New Orleans, Louisiana",city
Give me the venue for 2022 CVPR Give me the exact location only.,"New Orleans, Louisiana",city
Where did CVPR take place in 2021? Give me the exact location only.,"Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
"In 2021, where was CVPR held? Give me the exact location only.","Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
What was the location of CVPR in 2021? Give me the exact location only.,"Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
Where was the venue for CVPR in 2021? Give me the exact location only.,"Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
What was the site of CVPR in 2021? Give me the exact location only.,"Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
"In 2021, where was CVPR hosted? Give me the exact location only.","Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
Where did CVPR occur in 2021? Give me the exact location only.,"Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
What venue hosted CVPR in 2021? Give me the exact location only.,"Nashville, Tennessee Virtual/Online due to COVID-19[14]",city
