questions,answer,type
average age of students of an adult school is 40 years . 120 new students whose average age is 32 years joined the school . as a result the average age is decreased by 4 years . find the number of students of the school after joining of the new students .(Give me the numeric answer only),240,numeric
sophia finished 2 / 3 of a book . she calculated that she finished 90 more pages than she has yet to read . how long is her book ?(Give me the numeric answer only),270,numeric
"an empty fuel tank with a capacity of 218 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 30 gallons of ethanol , how many gallons of fuel a were added ?(Give me the numeric answer only)",122,numeric
6 workers should finish a job in 8 days . after 3 days came 4 workers join them . how many days m do they need to finish the same job ?(Give me the numeric answer only),3,numeric
j is 25 % less than p and 20 % less than t . t is q % less than p . what is the value of q ?(Give me the numeric answer only),6.25,numeric
"a student was asked to find 4 / 5 of a number . but the student divided the number by 4 / 5 , thus the student got 36 more than the correct answer . find the number .(Give me the numeric answer only)",80,numeric
"a train 125 m long passes a man , running at 15 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is ?(Give me the numeric answer only)",60,numeric
the average of 15 result is 60 . average of the first 10 of them is 10 and that of the last 10 is 80 . find the 8 th result ?(Give me the numeric answer only),200,numeric
the total of 324 of 20 paise and 25 paise make a sum of rs . 70 . the no of 20 paise coins is(Give me the numeric answer only),220,numeric
what is the number of integers from 1 to 1100 ( inclusive ) that are divisible by neither 11 nor by 35 ?(Give me the numeric answer only),945,numeric
"arun makes a popular brand of ice cream in a rectangular shaped bar 6 cm long , 5 cm wide and 2 cm thick . to cut costs , the company had decided to reduce the volume of the bar by 19 % . the thickness will remain same , but the length and width will be decreased by some percentage . the new width will be ,(Give me the numeric answer only)",33,numeric
"in the above number , a and b represent the tens and units digits , respectively . if the above number is divisible by 45 , what is the greatest possible value of b x a ?(Give me the numeric answer only)",20,numeric
"a garrison of 2000 men has provisions for 54 days . at the end of 15 days , a reinforcement arrives , and it is now found that the provisions will last only for 20 days more . what is the reinforcement ?(Give me the numeric answer only)",1900,numeric
"what is the greatest number that divides 263 , 935 and 1383 leaving a remainder of 7 in each case ?(Give me the numeric answer only)",32,numeric
how many seconds will a 900 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?(Give me the numeric answer only),54,numeric
find the average of all the numbers between 6 and 38 which are divisible by 4 .(Give me the numeric answer only),22,numeric
"a car gets 27 miles to the gallon . if it is modified to use a solar panel , it will use only 75 percent as much fuel as it does now . if the fuel tank holds 14 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?(Give me the numeric answer only)",126,numeric
"a fort had provision of food for 150 men for 45 days . after 10 days , 25 men left the fort . the number of days for which the remaining food will last , is :(Give me the numeric answer only)",42,numeric
a person lent a certain sum of money at 4 % per annum at simple interest and in 8 years the interest amounted to rs . 306 less than the sum lent . what was the sum lent ?(Give me the numeric answer only),450,numeric
"a man has some hens and cows . if the number of heads be 50 and the number of feet equals 144 , then the number of hens will be(Give me the numeric answer only)",28,numeric
"a watch was sold at a loss of 5 % . if it was sold for rs . 500 more , there would have been a gain of 5 % . what is the cost price ?(Give me the numeric answer only)",2788,numeric
"in a family 13 people eat only vegetarian , 7 people eat only non veg . , 8 people eat both veg and non veg . . how many people eat veg in the family ?(Give me the numeric answer only)",21,numeric
"if p / q = 4 / 5 , then the value of 11 / 7 + { ( 2 q - p ) / ( 2 q + p ) } is ?(Give me the numeric answer only)",2,numeric
"if x ^ 2 + y ^ 2 = 13 and xy = 3 , then ( x − y ) ^ 2 =(Give me the numeric answer only)",7,numeric
"a big container is 40 % full with water . if 14 liters of water is added , the container becomes 3 / 4 full . what is the capacity of the big container in liters ?(Give me the numeric answer only)",40,numeric
how many ounces of a 60 % salt solution must be added to 30 ounces of a 20 percent salt solution so that the resulting mixture is 40 % salt ?(Give me the numeric answer only),30,numeric
"d and e are two points respectively on sides ab and ac of triangle abc such that de is parallel to bc . if the ratio of area of triangle ade to that of the trapezium decb is 144 : 25 and bc = 13 cm , then find the length of de .(Give me the numeric answer only)",14,numeric
"how many of the positive factors of 25 , 15 and how many common factors are there in numbers ?(Give me the numeric answer only)",2,numeric
"for every even positive integer m , f ( m ) represents the product of all even integers from 2 to m , inclusive . for example , f ( 12 ) = 2 x 4 x 6 x 8 x 10 x 12 . what is the greatest prime factor of f ( 36 ) ?(Give me the numeric answer only)",17,numeric
"pipe a can fill a tank in 10 hours . due to a leak at the bottom , it takes 15 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?(Give me the numeric answer only)",30,numeric
what is the positive difference between the sum of the squares of the first 8 positive integers and the sum of the prime numbers between the first square and fourth square ?(Give me the numeric answer only),163,numeric
"the average age of 19 persons in a office is 15 years . out of these , the average age of 5 of them is 14 years and that of the other 9 persons is 16 years . the age of the 15 th person is ?(Give me the numeric answer only)",71,numeric
"if √ 10 = 3.16 , find the value of if √ 5 / 2(Give me the numeric answer only)",1.58,numeric
"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 7420 , what is the length of the plot in metres ?(Give me the numeric answer only)",80,numeric
a train 110 m long is running with a speed of 30 km / h . in how many seconds will the train pass a man who is running at 3 km / h in the direction opposite to that in which the train is going ?(Give me the numeric answer only),12,numeric
"a sporting goods store sold 64 frisbees in one week , some for $ 3 and the rest for $ 4 each . if receipts from frisbee sales for the week totaled $ 204 , what is the fewest number of $ 3 frisbees that could have been sold ?(Give me the numeric answer only)",52,numeric
"two trains 110 meters and 200 meters in length respectively are running in opposite directions , one at the rate of 80 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?(Give me the numeric answer only)",7.69,numeric
how many 1 / 10 s are there in 37 1 / 2 ?(Give me the numeric answer only),375,numeric
"how many different values of positive integer x , for which | x + 9 | < x , are there ?(Give me the numeric answer only)",3,numeric
if the average of 10 consecutive integers is 21.5 then the 10 th integer is : -(Give me the numeric answer only),26,numeric
a train passes a station platform in 30 sec and a man standing on the platform in 12 sec . if the speed of the train is 54 km / hr . what is the length of the platform ?(Give me the numeric answer only),270,numeric
what is 15 percent of 64 ?(Give me the numeric answer only),9.6,numeric
"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 55 - ounce cans or 15 - ounce cans of chili paste . if the restaurant must order 30 more of the smaller cans than the larger cans to fulfill its weekly needs , then how many larger cans are required to fulfill its weekly needs ?(Give me the numeric answer only)",15,numeric
"for any positive integer n , the sum of the first n positive integers equals n ( n + 1 ) / 2 . what is the sum of all the even integers between 99 and 181 ?(Give me the numeric answer only)",5740,numeric
"if k is an integer and 0.0010101 x 10 ^ k is greater than 10 , what is the least possible value of k ?(Give me the numeric answer only)",4,numeric
"if a and b are positive integers and ( 3 ^ a ) ^ b = 3 ^ 3 , what is the value of 3 ^ a * 3 ^ b ?(Give me the numeric answer only)",81,numeric
"a certain university will select 1 of 5 candidates eligible to fill a position in the mathematics department and 2 of 8 candidates eligible to fill 2 identical positions in the computer science department . if none of the candidates is eligible for a position in both departments , how many different sets of 3 candidates are there to fill the 3 positions ?(Give me the numeric answer only)",140,numeric
"what will be the lcm of 8 , 24 , 36 and 54(Give me the numeric answer only)",216,numeric
"if 0.75 : x : : 5 : 6 , then x is equal to :(Give me the numeric answer only)",0.9,numeric
"two trains of equal lengths take 10 sec and 14 sec respectively to cross a telegraph post . if the length of each train be 120 m , in what time will they cross other travelling in opposite direction ?(Give me the numeric answer only)",11.7,numeric
"in the coordinate plane , line a has a slope of - 1 and an x - intercept of 1 . line b has a slope of 4 and a y - intercept of - 4 . if the two lines intersect at the point ( a , b ) , what is the sum a + b ?(Give me the numeric answer only)",1,numeric
"if the annual increase in the population of a town is 10 % and the present number of people is 10000 , what will the population be in 2 years ?(Give me the numeric answer only)",12100,numeric
"a , b and c started a partnership business by investing rs . 12000 , rs . 16000 , rs . 20000 respectively . at the end of the year , the profit were distributed among them . if c ' s share of profit is 36000 , what is the total profit ?(Give me the numeric answer only)",86400,numeric
"at sandi ’ s pet shop , 25 cups of bird seed are used every 5 days to feed 15 parakeets . how many cups of bird seed would be required to feed 14 parakeets for 7 days ?(Give me the numeric answer only)",32.34,numeric
