questions,answer,type
Which movie earned Janet Gaynor the Oscar in 1928? give the movie name only.,7th Heaven,name
"In 1928, which film secured Janet Gaynor the Oscar? give the movie name only.",7th Heaven,name
Which film granted Janet Gaynor the Oscar in 1928? give the movie name only.,7th Heaven,name
"In 1928, for which movie did Janet Gaynor win the Oscar? give the movie name only.",7th Heaven,name
Which movie resulted in Janet Gaynor winning the Oscar in 1928? give the movie name only.,7th Heaven,name
"In 1928, which film led to Janet Gaynor receiving the Oscar? give the movie name only.",7th Heaven,name
Which movie clinched the Oscar for Janet Gaynor in 1928? give the movie name only.,7th Heaven,name
"In 1928, which film awarded Janet Gaynor the Oscar? give the movie name only.",7th Heaven,name
Which film bestowed the Oscar upon Janet Gaynor in 1928? give the movie name only.,7th Heaven,name
"In 1928, for which movie was Janet Gaynor awarded the Oscar? give the movie name only.",7th Heaven,name
Which movie secured Janet Gaynor the Oscar in 1928? give the movie name only.,7th Heaven,name
"In 1928, which film granted Janet Gaynor the Oscar? give the movie name only.",7th Heaven,name
Which movie resulted in Janet Gaynor earning the Oscar in 1928? give the movie name only.,7th Heaven,name
"In 1928, for which film did Janet Gaynor win the Oscar? give the movie name only.",7th Heaven,name
Which film led to Janet Gaynor receiving the Oscar in 1928? give the movie name only.,7th Heaven,name
Which movie earned Mary Pickford the Oscar in 1929? give the movie name only.,Coquette,name
"In 1929, which film secured Mary Pickford the Oscar? give the movie name only.",Coquette,name
Which film granted Mary Pickford the Oscar in 1929? give the movie name only.,Coquette,name
"In 1929, for which movie did Mary Pickford win the Oscar? give the movie name only.",Coquette,name
Which movie resulted in Mary Pickford winning the Oscar in 1929? give the movie name only.,Coquette,name
"In 1929, which film led to Mary Pickford receiving the Oscar? give the movie name only.",Coquette,name
Which movie clinched the Oscar for Mary Pickford in 1929? give the movie name only.,Coquette,name
"In 1929, which film awarded Mary Pickford the Oscar? give the movie name only.",Coquette,name
Which film bestowed the Oscar upon Mary Pickford in 1929? give the movie name only.,Coquette,name
"In 1929, for which movie was Mary Pickford awarded the Oscar? give the movie name only.",Coquette,name
Which movie secured Mary Pickford the Oscar in 1929? give the movie name only.,Coquette,name
"In 1929, which film granted Mary Pickford the Oscar? give the movie name only.",Coquette,name
Which movie resulted in Mary Pickford earning the Oscar in 1929? give the movie name only.,Coquette,name
"In 1929, for which film did Mary Pickford win the Oscar? give the movie name only.",Coquette,name
Which film led to Mary Pickford receiving the Oscar in 1929? give the movie name only.,Coquette,name
Which movie earned Norma Shearer the Oscar in 1930? give the movie name only.,The Divorcee,name
"In 1930, which film secured Norma Shearer the Oscar? give the movie name only.",The Divorcee,name
Which film granted Norma Shearer the Oscar in 1930? give the movie name only.,The Divorcee,name
"In 1930, for which movie did Norma Shearer win the Oscar? give the movie name only.",The Divorcee,name
Which movie resulted in Norma Shearer winning the Oscar in 1930? give the movie name only.,The Divorcee,name
"In 1930, which film led to Norma Shearer receiving the Oscar? give the movie name only.",The Divorcee,name
Which movie clinched the Oscar for Norma Shearer in 1930? give the movie name only.,The Divorcee,name
"In 1930, which film awarded Norma Shearer the Oscar? give the movie name only.",The Divorcee,name
Which film bestowed the Oscar upon Norma Shearer in 1930? give the movie name only.,The Divorcee,name
"In 1930, for which movie was Norma Shearer awarded the Oscar? give the movie name only.",The Divorcee,name
Which movie secured Norma Shearer the Oscar in 1930? give the movie name only.,The Divorcee,name
"In 1930, which film granted Norma Shearer the Oscar? give the movie name only.",The Divorcee,name
Which movie resulted in Norma Shearer earning the Oscar in 1930? give the movie name only.,The Divorcee,name
"In 1930, for which film did Norma Shearer win the Oscar? give the movie name only.",The Divorcee,name
Which film led to Norma Shearer receiving the Oscar in 1930? give the movie name only.,The Divorcee,name
Which movie earned Marie Dressler the Oscar in 1931? give the movie name only.,Min and Bill,name
"In 1931, which film secured Marie Dressler the Oscar? give the movie name only.",Min and Bill,name
Which film granted Marie Dressler the Oscar in 1931? give the movie name only.,Min and Bill,name
