questions,answer,type
"Who was awarded the Nobel Prize in Physics for the year 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Which individual received the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who emerged as the winner of the Nobel Prize in Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who claimed the Nobel Prize for Physics in the year 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"In 1901, who was the recipient of the Nobel Prize in Physics? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who attained the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who was the laureate of the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who achieved the Nobel Prize in Physics for the year 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who secured the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who garnered the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who was honored with the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who was the Nobel Prize recipient for Physics in the year 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who won the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who was granted the Nobel Prize for Physics in 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who was bestowed with the Nobel Prize for Physics in the year 1901? [first name + last name only] if multiple person, give one name only.",Wilhelm Röntgen,name
"Who was awarded the Nobel Prize in Chemistry for the year 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Which individual received the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who emerged as the winner of the Nobel Prize in Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who claimed the Nobel Prize for Chemistry in the year 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"In 1901, who was the recipient of the Nobel Prize in Chemistry? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who attained the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who was the laureate of the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who achieved the Nobel Prize in Chemistry for the year 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who secured the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who garnered the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who was honored with the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who was the Nobel Prize recipient for Chemistry in the year 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who won the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who was granted the Nobel Prize for Chemistry in 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who was bestowed with the Nobel Prize for Chemistry in the year 1901? [first name + last name only] if multiple person, give one name only.",Jacobus Henricus van 't Hoff,name
"Who was awarded the Nobel Prize in Medicine for the year 1901? [first name + last name only] if multiple person, give one name only.",Emil von Behring,name
