questions,answer,type
What was the position of Massachusetts Institute of Technology (MIT)  in the QS rankings for 2022?,  1  ,rank
"In 2022, where did Massachusetts Institute of Technology (MIT)  stand in the QS ranking?",  1  ,rank
What was the QS ranking of Massachusetts Institute of Technology (MIT)  for 2022?,  1  ,rank
How did Massachusetts Institute of Technology (MIT)  fare in the QS rankings for 2022?,  1  ,rank
What was Massachusetts Institute of Technology (MIT) 's QS rank in 2022?,  1  ,rank
"In 2022, what position did Massachusetts Institute of Technology (MIT)  secure in the QS rankings?",  1  ,rank
What was Massachusetts Institute of Technology (MIT) 's standing in the QS rankings for 2022?,  1  ,rank
"In 2022, what was the QS ranking of Massachusetts Institute of Technology (MIT) ?",  1  ,rank
Where did Massachusetts Institute of Technology (MIT)  place in the QS rankings for 2022?,  1  ,rank
What QS ranking did Massachusetts Institute of Technology (MIT)  achieve in 2022?,  1  ,rank
QS ranking of Massachusetts Institute of Technology (MIT)  in 2022?,  1  ,rank
What position did Massachusetts Institute of Technology (MIT)  attain in the QS rankings for 2022?,  1  ,rank
What was Massachusetts Institute of Technology (MIT) 's QS rating for 2022?,  1  ,rank
Give the specific QS rank of Massachusetts Institute of Technology (MIT)  in 2022,  1  ,rank
what place did Massachusetts Institute of Technology (MIT)  achieved in 2022 QS ranking?,  1  ,rank
What was the position of University of Oxford in the QS rankings for 2022?,  2  ,rank
"In 2022, where did University of Oxford stand in the QS ranking?",  2  ,rank
What was the QS ranking of University of Oxford for 2022?,  2  ,rank
How did University of Oxford fare in the QS rankings for 2022?,  2  ,rank
What was University of Oxford's QS rank in 2022?,  2  ,rank
"In 2022, what position did University of Oxford secure in the QS rankings?",  2  ,rank
What was University of Oxford's standing in the QS rankings for 2022?,  2  ,rank
"In 2022, what was the QS ranking of University of Oxford?",  2  ,rank
Where did University of Oxford place in the QS rankings for 2022?,  2  ,rank
What QS ranking did University of Oxford achieve in 2022?,  2  ,rank
QS ranking of University of Oxford in 2022?,  2  ,rank
What position did University of Oxford attain in the QS rankings for 2022?,  2  ,rank
What was University of Oxford's QS rating for 2022?,  2  ,rank
Give the specific QS rank of University of Oxford in 2022,  2  ,rank
what place did University of Oxford achieved in 2022 QS ranking?,  2  ,rank
What was the position of Stanford University in the QS rankings for 2022?,  3,rank
"In 2022, where did Stanford University stand in the QS ranking?",  3,rank
What was the QS ranking of Stanford University for 2022?,  3,rank
How did Stanford University fare in the QS rankings for 2022?,  3,rank
What was Stanford University's QS rank in 2022?,  3,rank
"In 2022, what position did Stanford University secure in the QS rankings?",  3,rank
What was Stanford University's standing in the QS rankings for 2022?,  3,rank
"In 2022, what was the QS ranking of Stanford University?",  3,rank
Where did Stanford University place in the QS rankings for 2022?,  3,rank
What QS ranking did Stanford University achieve in 2022?,  3,rank
QS ranking of Stanford University in 2022?,  3,rank
What position did Stanford University attain in the QS rankings for 2022?,  3,rank
What was Stanford University's QS rating for 2022?,  3,rank
Give the specific QS rank of Stanford University in 2022,  3,rank
what place did Stanford University achieved in 2022 QS ranking?,  3,rank
What was the position of University of Cambridge in the QS rankings for 2022?,  3,rank
"In 2022, where did University of Cambridge stand in the QS ranking?",  3,rank
What was the QS ranking of University of Cambridge for 2022?,  3,rank
How did University of Cambridge fare in the QS rankings for 2022?,  3,rank
What was University of Cambridge's QS rank in 2022?,  3,rank
"In 2022, what position did University of Cambridge secure in the QS rankings?",  3,rank
What was University of Cambridge's standing in the QS rankings for 2022?,  3,rank
"In 2022, what was the QS ranking of University of Cambridge?",  3,rank
Where did University of Cambridge place in the QS rankings for 2022?,  3,rank
What QS ranking did University of Cambridge achieve in 2022?,  3,rank
QS ranking of University of Cambridge in 2022?,  3,rank
What position did University of Cambridge attain in the QS rankings for 2022?,  3,rank
What was University of Cambridge's QS rating for 2022?,  3,rank
Give the specific QS rank of University of Cambridge in 2022,  3,rank
what place did University of Cambridge achieved in 2022 QS ranking?,  3,rank
What was the position of Harvard University in the QS rankings for 2022?,  5  ,rank
"In 2022, where did Harvard University stand in the QS ranking?",  5  ,rank
What was the QS ranking of Harvard University for 2022?,  5  ,rank
How did Harvard University fare in the QS rankings for 2022?,  5  ,rank
What was Harvard University's QS rank in 2022?,  5  ,rank
"In 2022, what position did Harvard University secure in the QS rankings?",  5  ,rank
What was Harvard University's standing in the QS rankings for 2022?,  5  ,rank
"In 2022, what was the QS ranking of Harvard University?",  5  ,rank
Where did Harvard University place in the QS rankings for 2022?,  5  ,rank
What QS ranking did Harvard University achieve in 2022?,  5  ,rank
QS ranking of Harvard University in 2022?,  5  ,rank
What position did Harvard University attain in the QS rankings for 2022?,  5  ,rank
What was Harvard University's QS rating for 2022?,  5  ,rank
Give the specific QS rank of Harvard University in 2022,  5  ,rank
what place did Harvard University achieved in 2022 QS ranking?,  5  ,rank
What was the position of California Institute of Technology (Caltech) in the QS rankings for 2022?,  6  ,rank
"In 2022, where did California Institute of Technology (Caltech) stand in the QS ranking?",  6  ,rank
What was the QS ranking of California Institute of Technology (Caltech) for 2022?,  6  ,rank
How did California Institute of Technology (Caltech) fare in the QS rankings for 2022?,  6  ,rank
What was California Institute of Technology (Caltech)'s QS rank in 2022?,  6  ,rank
"In 2022, what position did California Institute of Technology (Caltech) secure in the QS rankings?",  6  ,rank
What was California Institute of Technology (Caltech)'s standing in the QS rankings for 2022?,  6  ,rank
"In 2022, what was the QS ranking of California Institute of Technology (Caltech)?",  6  ,rank
Where did California Institute of Technology (Caltech) place in the QS rankings for 2022?,  6  ,rank
What QS ranking did California Institute of Technology (Caltech) achieve in 2022?,  6  ,rank
QS ranking of California Institute of Technology (Caltech) in 2022?,  6  ,rank
What position did California Institute of Technology (Caltech) attain in the QS rankings for 2022?,  6  ,rank
What was California Institute of Technology (Caltech)'s QS rating for 2022?,  6  ,rank
Give the specific QS rank of California Institute of Technology (Caltech) in 2022,  6  ,rank
what place did California Institute of Technology (Caltech) achieved in 2022 QS ranking?,  6  ,rank
What was the position of Imperial College London in the QS rankings for 2022?,  7  ,rank
"In 2022, where did Imperial College London stand in the QS ranking?",  7  ,rank
What was the QS ranking of Imperial College London for 2022?,  7  ,rank
How did Imperial College London fare in the QS rankings for 2022?,  7  ,rank
What was Imperial College London's QS rank in 2022?,  7  ,rank
"In 2022, what position did Imperial College London secure in the QS rankings?",  7  ,rank
What was Imperial College London's standing in the QS rankings for 2022?,  7  ,rank
"In 2022, what was the QS ranking of Imperial College London?",  7  ,rank
Where did Imperial College London place in the QS rankings for 2022?,  7  ,rank
What QS ranking did Imperial College London achieve in 2022?,  7  ,rank
QS ranking of Imperial College London in 2022?,  7  ,rank
What position did Imperial College London attain in the QS rankings for 2022?,  7  ,rank
What was Imperial College London's QS rating for 2022?,  7  ,rank
Give the specific QS rank of Imperial College London in 2022,  7  ,rank
what place did Imperial College London achieved in 2022 QS ranking?,  7  ,rank
What was the position of ETH Zurich - Swiss Federal Institute of Technology in the QS rankings for 2022?,  8,rank
"In 2022, where did ETH Zurich - Swiss Federal Institute of Technology stand in the QS ranking?",  8,rank
What was the QS ranking of ETH Zurich - Swiss Federal Institute of Technology for 2022?,  8,rank
How did ETH Zurich - Swiss Federal Institute of Technology fare in the QS rankings for 2022?,  8,rank
What was ETH Zurich - Swiss Federal Institute of Technology's QS rank in 2022?,  8,rank
"In 2022, what position did ETH Zurich - Swiss Federal Institute of Technology secure in the QS rankings?",  8,rank
What was ETH Zurich - Swiss Federal Institute of Technology's standing in the QS rankings for 2022?,  8,rank
"In 2022, what was the QS ranking of ETH Zurich - Swiss Federal Institute of Technology?",  8,rank
Where did ETH Zurich - Swiss Federal Institute of Technology place in the QS rankings for 2022?,  8,rank
What QS ranking did ETH Zurich - Swiss Federal Institute of Technology achieve in 2022?,  8,rank
QS ranking of ETH Zurich - Swiss Federal Institute of Technology in 2022?,  8,rank
What position did ETH Zurich - Swiss Federal Institute of Technology attain in the QS rankings for 2022?,  8,rank
What was ETH Zurich - Swiss Federal Institute of Technology's QS rating for 2022?,  8,rank
Give the specific QS rank of ETH Zurich - Swiss Federal Institute of Technology in 2022,  8,rank
what place did ETH Zurich - Swiss Federal Institute of Technology achieved in 2022 QS ranking?,  8,rank
What was the position of UCL in the QS rankings for 2022?,  8,rank
"In 2022, where did UCL stand in the QS ranking?",  8,rank
What was the QS ranking of UCL for 2022?,  8,rank
